group_type,group_value,closed_trades,wins,losses,win_rate,realized_pnl_usd,avg_return_pct,avg_pnl_usd,avg_holding_days
tier,,3,0,3,0.0,-3.7399999999999998,-0.11063084455529938,-1.2466666666666666,10.333333333333334
latest_action,,2,0,2,0.0,-3.15,-0.13974733255230964,-1.575,7.5
latest_action,WATCH,1,0,1,0.0,-0.59,-0.05239786856127885,-0.59,16.0
latest_reasons,,2,0,2,0.0,-3.15,-0.13974733255230964,-1.575,7.5
latest_reasons,Market regime: Risk On; Aggressive mode active; MACD/volume acceleration,1,0,1,0.0,-0.59,-0.05239786856127885,-0.59,16.0
market_regime,,2,0,2,0.0,-3.15,-0.13974733255230964,-1.575,7.5
market_regime,Risk On,1,0,1,0.0,-0.59,-0.05239786856127885,-0.59,16.0
aggressive_mode_active,True,1,0,1,0.0,-0.59,-0.05239786856127885,-0.59,16.0
aggressive_mode_active,,2,0,2,0.0,-3.15,-0.13974733255230964,-1.575,7.5
exit_action,,2,0,2,0.0,-3.15,-0.13974733255230964,-1.575,7.5
exit_action,,1,0,1,0.0,-0.59,-0.05239786856127885,-0.59,16.0
exit_reason,,2,0,2,0.0,-3.15,-0.13974733255230964,-1.575,7.5
exit_reason,,1,0,1,0.0,-0.59,-0.05239786856127885,-0.59,16.0
