ticker,tier,price,gap_pct,volume_trend,premarket_score,premarket_action,buy_amount_usd,shares_to_buy,stop_loss,trim_price,reason_tags,position_rationale,gap_reason,volume_reason,macd_reason,rsi_reason
AVGO,QUALITY,389.1099853515625,0.030087289573326,0.7218869927281159,85,SKIP,0,0,366.6046360560826,419.1171177455357,gap_up; macd_positive; rsi_healthy,Skip — setup does not meet premarket rules,Valid gap up >3%,Volume not confirming,MACD histogram positive,RSI healthy 40–70
SKHY,QUALITY,193.9199981689453,0.0951078537291295,,85,SKIP,0,0,178.4063983154297,223.0079978942871,strong_gap_up; macd_positive,Skip — setup does not meet premarket rules,Strong gap up >5%,Volume not confirming,MACD histogram positive,RSI neutral/unknown
SOFI,MOMENTUM,18.549999237060547,0.0044125718372439,1.151572395702875,70,SKIP,0,0,16.667142050606863,21.374285016741077,macd_positive; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram positive,RSI healthy 40–70
CELC,MOMENTUM,111.0500030517578,0.0,1.3395880385188716,70,SKIP,0,0,97.80785914829798,130.91321890694752,macd_positive; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram positive,RSI healthy 40–70
SOUN,MOMENTUM,6.690000057220459,-0.0154083063419491,1.1244386044013968,70,SKIP,0,0,5.878714220864432,7.906928811754499,macd_positive; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram positive,RSI healthy 40–70
NVDA,QUALITY,211.8000030517578,0.0229450115312453,0.7433680375253153,70,SKIP,0,0,201.37714767456052,225.6971435546875,macd_positive; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram positive,RSI healthy 40–70
CRDO,MOMENTUM,236.17999267578125,0.0659616669956161,0.4759122849309471,60,SKIP,0,0,182.3964189801897,316.85535321916853,strong_gap_up; weak_volume; macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,Strong gap up >5%,Weak volume <0.7x,MACD histogram negative,RSI healthy 40–70
ALAB,MOMENTUM,361.7799987792969,0.082723417254077,0.5222684036760127,60,SKIP,0,0,268.7313014439174,501.35304478236606,strong_gap_up; weak_volume; macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,Strong gap up >5%,Weak volume <0.7x,MACD histogram negative,RSI healthy 40–70
AMD,QUALITY,548.1300048828125,0.0624019610194614,0.6202720503267012,60,SKIP,0,0,491.05285208565846,624.2328752790179,strong_gap_up; weak_volume; macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,Strong gap up >5%,Weak volume <0.7x,MACD histogram negative,RSI healthy 40–70
MU,MOMENTUM,983.1199951171876,0.0543756800501934,0.5629273561792737,60,SKIP,0,0,803.5899658203126,1252.4150390625,strong_gap_up; weak_volume; macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,Strong gap up >5%,Weak volume <0.7x,MACD histogram negative,RSI healthy 40–70
