ticker,sector,tier,market_regime,aggressive_mode_active,price,score,sort_priority,action,trend_score,momentum_score,accelerator_score,rsi_14,gap_pct,volume_trend,macd_histogram,stop_loss,trim_price,atr,buy_amount_usd,shares_to_buy,risk_budget_usd,max_position_usd,holding_return_pct,sell_signal,exit_action,exit_priority,exit_reason,position_count,open_slots,position_rule,add_more_signal,add_more_reason,weekly_realized_pnl,weekly_loss_stop_triggered,decision_reasons,warnings
GOOGL,Internet/Software,QUALITY,Risk On,True,317.69000244140625,29.0,2,WATCH,0,0,75,29.64712653113825,-0.0612704015886376,2.07305304099478,-2.9935439392150878,299.9353572300502,341.3628627232143,11.836430140904016,0.0,0.0,6.2,43.39,-0.1339354728351109,SELL,SELL,MEDIUM,Trend and score weakened,7,0,Already held,NO,Do not average down,0.0,False,Market regime: Risk On; Aggressive mode active; MACD/volume acceleration,Do not average down; Trend and score weakened
SOFI,Fintech,MOMENTUM,Risk On,True,16.649999618530273,27.0,2,WATCH,0,0,50,37.82542480113051,-0.0105448335321505,0.9203610423507872,-0.1970471242675394,14.937999452863421,19.217999867030553,0.8560000828334263,0.0,0.0,6.2,43.39,-0.0950280595134226,SELL,SELL,MEDIUM,Trend and score weakened,7,0,Already held,NO,Do not average down,0.0,False,Market regime: Risk On; Aggressive mode active; Momentum tier boost,Do not average down; Trend and score weakened
ANET,Networking,MOMENTUM,Risk On,True,176.61000061035156,87.0,3,BUY,80,100,50,61.88840437217636,-0.0120088688932556,0.488839519229192,-0.5670330386352691,155.86471775599887,207.72792489188058,10.37264142717634,0.0,0.0,6.2,43.39,-0.0591335484919138,,HOLD,LOW,No exit trigger,7,0,Already held,NO,Do not average down,0.0,False,Market regime: Risk On; Aggressive mode active; Strong trend; Positive momentum; Momentum tier boost,Do not average down
BLZE,Gaming/Digital Media,MOONSHOT,Risk On,True,12.760000228881836,80.0,3,BUY,80,100,50,34.59051231345151,-0.0111773187539129,0.4186661128384089,-0.6446258476421285,9.580678939819336,17.846914291381836,1.271728515625,0.0,0.0,6.2,43.39,-0.1923754009833544,,HOLD,LOW,"Moonshot down 15%+, but score still strong",7,0,Already held,NO,Do not average down,0.0,False,Market regime: Risk On; Aggressive mode active; Strong trend; Positive momentum; Moonshot tier boost,Do not average down; Moonshot: high risk / small size
STTK,Industrials,MOONSHOT,Risk On,True,7.090000152587891,80.0,3,BUY,80,65,50,50.49019550553025,-0.0170940008383367,0.4402270531410077,-0.0003388146632529,5.492321661540441,9.646285738263812,0.6390713964189801,0.0,0.0,6.2,43.39,0.0369300704876624,,HOLD,LOW,No exit trigger,7,0,Already held,NO,MOONSHOT add blocked until return is above 15%,0.0,False,Market regime: Risk On; Aggressive mode active; Strong trend; Moonshot tier boost,MOONSHOT add blocked until return is above 15%; Moonshot: high risk / small size
NVDA,Semiconductors,QUALITY,Risk On,True,208.75999450683597,79.0,3,BUY SMALL,40,100,75,62.123576776260784,-0.0125671664472996,0.7089599039299868,1.0009095897367872,197.7414234706334,223.45142255510606,7.345714024135044,0.0,0.0,6.2,43.39,-0.0251833744924402,,HOLD,LOW,No exit trigger,7,0,Already held,NO,Do not average down,0.0,False,Market regime: Risk On; Aggressive mode active; Positive momentum; MACD/volume acceleration,Do not average down
BFLY,Medical Devices,MOONSHOT,Risk On,True,6.619999885559082,73.0,3,BUY SMALL,80,75,50,37.32057721925732,-0.0015128939001275,0.5491297413262528,-0.2510586283743538,5.0487677199499945,9.13397135053362,0.6284928662436349,0.0,0.0,6.2,43.39,-0.2030710904040404,REVIEW,REVIEW,MEDIUM,Moonshot down 15%+; review before selling,7,0,Already held,NO,Do not average down,0.0,False,Market regime: Risk On; Aggressive mode active; Strong trend; Positive momentum; Moonshot tier boost,Do not average down; Moonshot down 15%+; review before selling; Moonshot: high risk / small size
NBIS,AI Infrastructure,MOONSHOT,Risk On,True,220.97000122070312,82.0,8,WATCH,40,75,75,51.74415053086908,-0.0177621925877929,0.8176423409424152,0.3571335991726103,167.5585774012974,306.42827933175226,21.36456952776228,0.0,0.0,6.2,43.39,,,,,,7,0,Max 6 positions reached,,,0.0,False,Market regime: Risk On; Aggressive mode active; Positive momentum; MACD/volume acceleration; Moonshot tier boost,Moonshot: high risk / small size
CLS,Technology,MOMENTUM,Risk On,True,334.75,69.0,8,WATCH,40,40,75,49.50488635081753,-0.0036662026418125,1.1199950192907546,0.0136633231564289,290.8357151576451,400.6214272635324,21.95714242117745,0.0,0.0,6.2,43.39,,,,,,7,0,Max 6 positions reached,,,0.0,False,Market regime: Risk On; Aggressive mode active; MACD/volume acceleration; Momentum tier boost,
SMCI,AI Infrastructure,MOONSHOT,Risk On,True,31.200000762939453,60.0,8,WATCH,0,35,75,63.37366153917147,-0.0067081128039454,1.4974896316485813,0.5742645576081638,26.416965075901576,38.852857862200054,1.9132142748151504,0.0,0.0,6.2,43.39,,,,,,7,0,Max 6 positions reached,,,0.0,False,Market regime: Risk On; Aggressive mode active; MACD/volume acceleration; Moonshot tier boost,Moonshot: high risk / small size; Moonshot volatility may be too low
