date,ticker,type,price,usd_amount,transaction_fee,shares,value,holding_key,sell_method,notes
2026-06-30,TSLA,Buy,406.05,11.26,0.20096,0.0272356606329269,11.059039999999968,1,,Imported current workbook buy
2026-06-30,ASTS,Buy,82.2,11.26,0.20996,0.134428710462287,11.050039999999992,2,,Imported current workbook buy
2026-06-30,SOFI,Buy,18.07,11.26,0.20096,0.612011068068622,11.059040000000001,3,,Imported current workbook buy
2026-06-30,BLZE,Buy,14.8,11.26,0.20096,0.7472324324324323,11.05904,4,,Imported current workbook buy
2026-07-02,IONQ,Buy,53.489,11.28,0.21033,0.2069522705603021,11.069669999999999,5,,Imported current workbook buy
2026-07-08,IONQ,Sell,47.449,9.65,0.18329,0.2069522705603021,9.819678285815774,5,SPECIFIC,Imported current workbook sell
2026-07-09,ASTS,Sell,73.868,9.74,0.18516,0.134428710462287,9.929979984428215,2,SPECIFIC,Imported current workbook sell
2026-07-09,GOOGL,Buy,365.29,9.65,0.17994,0.0259247720988803,9.470059999999984,6,,Imported current workbook buy
2026-07-10,GOOGL,Buy,354.87,9.74,0.18161,0.0269349057401301,9.558389999999969,7,,Imported current workbook buy
2026-07-14,ANET,Buy,184.21,18.0,0.33562,0.0958926225503501,17.66437999999999,8,,First trade logged in Github
2026-07-14,BFLY,Buy,8.152,12.0,0.22375,1.4445841511285575,11.77625,9,,Second trade logged in Github
2026-07-14,BLZE,Buy,16.4,10.0,0.18646,0.5983865853658537,9.81354,10,,Third trade logged in Github
2026-07-16,TSLA,Sell,399.434,10.67,0.29268,0.0272356606329269,10.878848869252524,1,SPECIFIC,First Sell on engine v2 advice
2026-07-17,STTK,Buy,6.71,14.12,0.26328,2.065084947839046,13.85672,11,,First buy with v2 engine
2026-07-17,NVDA,Buy,210.16,9.18,0.17117,0.042866530262657,9.008829999999994,12,,Second buy with v2 engine
